Molecule ChEMBL ID,pIC50,AlogP,MW
CHEMBL3092997,4.01,-0.38,244.27
CHEMBL3092998,4.11,-0.38,244.27
CHEMBL3092999,4.07,-0.04,258.3
CHEMBL3093001,4.6,0.01,258.3
CHEMBL3093003,4.44,0.27,278.72
CHEMBL3093004,4.25,0.27,278.72
CHEMBL3093005,4.16,-0.24,262.26
CHEMBL3093006,4.12,-0.24,262.26
CHEMBL3093007,4.44,0.38,323.17
CHEMBL3093009,4.52,0.93,313.16
CHEMBL3093010,4.54,-0.07,258.3
CHEMBL3093012,4.77,-0.13,258.3
CHEMBL3098847,7.66,1.85,311.36
CHEMBL316997,5.13,0.82,193.14
CHEMBL318664,5.06,1.06,195.16
CHEMBL3237492,6.56,2.11,369.86
CHEMBL3237494,6.62,2.11,369.86
CHEMBL3237495,6.02,2.77,404.3
CHEMBL32749,5.19,1.5,194.19
CHEMBL3290054,5.36,2.71,167.21
CHEMBL3290055,5.39,2.71,167.21
CHEMBL3290056,5.42,2.07,181.19
CHEMBL3290057,5.44,2.07,181.19
CHEMBL3290058,5.49,2.07,181.19
CHEMBL3290059,5.43,2.07,181.19
CHEMBL3290513,7.64,2.11,369.86
CHEMBL3291001,5.21,0.26,365.62
CHEMBL3291007,5.74,-0.49,376.18
CHEMBL3291008,5.42,-0.49,376.18
CHEMBL3291009,5.85,1.27,407.28
CHEMBL3291010,6.3,1.33,413.31
CHEMBL3291011,5.58,1.92,441.72
CHEMBL3291012,7.16,1.28,437.3
CHEMBL3291013,7.15,1.18,452.27
CHEMBL329784,5.05,1.21,207.17
CHEMBL3310984,5.09,2.46,241.36
CHEMBL331715,5.42,0.05,129.04
CHEMBL3402244,6.92,3.37,439.53
CHEMBL3402245,6.96,2.98,425.51
CHEMBL3402246,6.96,3.13,413.5
CHEMBL3402247,6.88,3.52,427.52
CHEMBL3402248,7.15,5.62,632.18
CHEMBL3402249,6.9,-0.12,383.42
CHEMBL3402250,6.96,-0.51,369.39
CHEMBL3402251,6.81,-0.37,357.38
CHEMBL3402252,6.84,0.02,371.41
CHEMBL3402253,6.92,2.13,576.07
CHEMBL3415379,7.51,0.58,413.5
CHEMBL3415380,7.33,0.19,399.47
CHEMBL3415381,6.81,-0.2,385.45
CHEMBL3415382,7.09,0.36,368.5
CHEMBL3415383,7.51,-0.35,414.49
CHEMBL3415384,6.78,-0.57,369.49
CHEMBL3604466,6.29,1.76,386.28
CHEMBL3604467,6.39,2.15,400.3
CHEMBL362436,5.13,2.4,278.29
